question_set_id,questionText,fieldname,answerType,answerOptions
1,What is the panel width? ,Width,Drop Down ,"12"", 14.75"""
1,What color are the shutters? ,Color ,Color ,
1,What is the length of the shutters? ,Length,TextArea,
1,How many pairs of shutters? ,Quantity ,TextArea,
1,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Fasteners, Other"
1,Have the shutters been painted?,Painted ,Check Box ,"Yes, No"
1,Date Dial Information ,Date Dial ,Date Dial ,
1,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
2,What is the panel width? ,Width,Drop Down ,"12"", 14.5"""
2,What color are the shutters? ,Color ,Color ,
2,What is the length of the shutters? ,Length,TextArea,
2,How many pairs of shutters? ,Quantity ,TextArea,
2,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Fasteners, Other"
2,Have the shutters been painted?,Painted ,Check Box ,"Yes, No"
2,Date Dial Information ,Date Dial ,Date Dial ,
2,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
3,What is the panel width? ,Width,Drop Down ,"12"", 14"""
3,What color are the shutters? ,Color ,Color ,
3,What is the length of the shutters? ,Length,TextArea,
3,How many pairs of shutters? ,Quantity ,TextArea,
3,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Fasteners, Other"
3,Have the shutters been painted?,Painted ,Check Box ,"Yes, No"
3,Date Dial Information ,Date Dial ,Date Dial ,
3,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
4,What is the panel width? ,Width,Drop Down ,"9.25"", 12"", 14.5"", 16.5"", 18"""
4,What color are the shutters? ,Color ,Color ,
4,What is the length of the shutters? ,Length,TextArea,
4,How many pairs of shutters? ,Quantity ,TextArea,
4,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Fasteners, Other"
4,Have the shutters been painted?,Painted ,Check Box ,"Yes, No"
4,Date Dial Information ,Date Dial ,Date Dial ,
4,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
5,Please describe your product ,Product Description ,TextArea,
5,Please indicate quantity ,Quantity ,TextArea,
5,What color is your product?,Color ,Color ,
5,Have the mounting blocks been painted?,Painted ,Check Box ,"Yes, No"
5,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
6,Please describe your product ,Product Description ,TextArea,
6,Please indicate quantity ,Quantity ,TextArea,
6,What color is your product?,Color ,Color ,
6,Have the vents been painted?,Painted ,Check Box ,"Yes, No"
6,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
7,Please select type ,Product Description ,Check Box (Multiple Select) ,"6"" Flat Panel, 6"" Dentil, 9"" Flat Panel, 9"" Dentil, Pilaster Kit"
7,What is the Lineal Feet? ,Affected Area ,TextArea,
7,What color is your product? ,Color ,Color ,
7,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Manufacturing Defect, Faceplate Lock, Other"
7,Have the trim been painted?,Painted ,Check Box ,"Yes, No"
7,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
8,Please select type ,Product Description ,Drop Down ,"Half Round , Elliptical, Kit"
8,Please indicate size,Product Dimensions,TextArea,
8,What color is your product?,Color ,Color ,
8,Have the sunbursts been painted?,Painted ,Check Box,"Yes, No"
8,What is the reason for the Warranty? ,Warranty Reason ,Drop Down ,"Fade, Warping or Bowing, Manufacturing Defect, Faceplate Lock, Other"
8,Please provide additional information regarding the claim (if necessary) ,Notes ,TextArea,
9,Please select type ,Product Description ,Drop Down ,"Square, Scallop, Corners"
9,What is the Lineal Feet? ,Affected Area ,TextArea,
9,What color is your product?,Color ,Color ,
9,Have the Dentil Trim been painted?,Painted ,Check Box,"Yes, No"
